Gene	Tscore	Tscoreadjusted
CORO2A	5.234136171499324	4.234136171499324
TTPAL	5.087341042404393	4.087341042404393
DFFBP1	4.962978025576364	3.962978025576364
GTF2H2	4.960491950464988	3.960491950464988
DUX4L50	4.959866330812142	3.959866330812142
AFDN	4.922645026403764	3.922645026403764
NCOA3	4.902534939609185	3.9025349396091853
H2BC19P	4.8877298281075445	3.8877298281075445
ANKEF1	4.852846818491892	3.8528468184918916
LOXL2	4.817629118710095	3.8176291187100952
JUN	4.779669474235626	3.779669474235626
COBLL1	4.778246226324896	3.778246226324896
CEP97	4.7495310350197855	3.7495310350197855
ZNF100	4.737065517263031	3.737065517263031
PALM2AKAP2	4.721911586017045	3.721911586017045
PIWIL2	4.698488106552926	3.698488106552926
FTX	4.693650531562425	3.693650531562425
SERPINI1	4.6796805533623385	3.6796805533623385
FCGR2B	4.674929199281399	3.674929199281399
TPD52	4.669705892386933	3.669705892386933
ENTPD4	4.661498562798839	3.6614985627988386
SELENOI	4.657582959859504	3.6575829598595044
AC018463.1	4.65692375336501	3.6569237533650103
CCR8	4.654452376939418	3.6544523769394184
AL512306.3	4.639382781553351	3.6393827815533513
PAWR	4.637874451011074	3.637874451011074
ABCA5	4.635613956806476	3.635613956806476
LINC00563	4.627131331019986	3.627131331019986
BTN2A2	4.593861692048469	3.5938616920484687
IP6K2	4.588660348075066	3.5886603480750656
ILDR1	4.582621148674107	3.5826211486741073
RGS16	4.581011753309838	3.581011753309838
DONSON	4.576933952112116	3.5769339521121157
KNTC1	4.5713210768270445	3.5713210768270445
AC107884.1	4.561085410870044	3.561085410870044
SLC35E2B	4.551961587948927	3.5519615879489272
PPIL1	4.5460705167335425	3.5460705167335425
FAM111B	4.540070350751825	3.540070350751825
NECAP1	4.532694413332853	3.5326944133328526
RRAS2	4.526454249351262	3.5264542493512616
IGHJ6	4.523002335831563	3.5230023358315634
LINC01144	4.516716208898768	3.5167162088987682
AC022182.1	4.516095266829631	3.5160952668296312
ALG1L13P	4.513731775647361	3.5137317756473614
IGKJ5	4.503001965926602	3.503001965926602
C18orf32	4.496528661513721	3.4965286615137208
AL008729.1	4.485585042442976	3.4855850424429757
RAB30	4.4849802968064685	3.4849802968064685
WEE1	4.483290467416034	3.483290467416034
AC104825.1	4.458913464628182	3.458913464628182
KIF5A	4.458880714759767	3.4588807147597667
TAF4B	4.452118133407579	3.452118133407579
RNF144A	4.423582697626892	3.423582697626892
C1RL-AS1	4.418775755084764	3.4187757550847637
MIR4537	4.405498219282869	3.405498219282869
CEP162	4.404219218038339	3.404219218038339
AL731563.4	4.387396849937097	3.3873968499370974
SLC35F2	4.378635940113416	3.3786359401134156
KIAA1109	4.373079804064372	3.373079804064372
AL139287.1	4.362952077952579	3.3629520779525794
HCP5	4.359575197948328	3.3595751979483284
ZKSCAN7	4.351890403842943	3.351890403842943
JPX	4.341005274541581	3.3410052745415806
SEL1L3	4.328581584714251	3.328581584714251
NUTM2E	4.320344864922434	3.3203448649224336
YWHAZP5	4.317243552837722	3.3172435528377218
AC099343.5	4.31460194188368	3.31460194188368
KBTBD8	4.313783540623563	3.3137835406235627
RBM5	4.313397627118435	3.3133976271184347
TLK1	4.310930318216157	3.3109303182161574
SYNJ2	4.310182559358642	3.3101825593586423
PTPDC1	4.305134212491654	3.3051342124916543
