Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,random133,0.3435336975641908,1.748712815786753,0.0,0.07381452811811146,0.074,36/98,23.20%,RPL34P36;PPIAP11;ITPK1-AS1;TMPRSS11D;KLF8;GXYLT2;RN7SKP295;PCNPP1;LINC00327;OR2I1P;SV2C-AS1;STK35;DHTKD1;MIR3680-2;KRT18P16;CLEC6A;SNORA40B;KLHDC4;SPATA8-AS1;NUP50-DT;AK7;EIF4A1P1;TMPRSS11F;CBLC;UBE2CP2;GAPDHP16;POGLUT1;BMS1P2;SRMP1;DDX60L;ATE1;TBPL1;ATAT1;PI4KAP2;PGAP1;USP42
prerank,random805,-0.39288363538292903,-1.6793045221711187,0.0,0.9898252021914948,0.623,45/98,31.72%,MRPS30-DT;PARP3;FAM78B;COQ8A;SOX18;ZBP1;TMEM44;P2RY8;LINC02701;IGSF6;FMO2;PPP1R1B;RN7SL426P;LINC02800;LINC02627;MAGEB10;FAM225B;PPFIA2;BCAS1;CADPS;NUTM2E;HTR2A;TRGC2;UMODL1;SNHG20;LAT2;LINC02296;TUBGCP6;KLHL33;CLNS1AP1;RN7SL104P;RNU6-579P;EEF1G;SGF29;PIERCE2;ISY1;HOXA9;MIR6817;NDUFA3P1;SPDYE20P;WASL-DT;RPL18AP16;RELA;HIGD1AP12;HMGB1P37
prerank,random744,0.312142342001344,1.6295803679827505,0.0,0.17542933305992722,0.304,28/98,16.96%,FARP1-AS1;FUT4;SYNGAP1-AS1;CENPI;RNF225;ZNF804A;ARHGEF11;ARHGAP42P2;UNC45B;GDI2P2;RNU1-101P;RNU6-26P;CGB7;NKPD1;TNFRSF19;BANF1;RIC1;VPS53;LARP1;ATP5MF;RNU6-1160P;PLEKHA3;ITPA;MKRN5P;NOA1;DPH2;TRAPPC1;LINC00243
prerank,random174,-0.3770423481533863,-1.6252440714561904,0.003703703703703704,1.0,0.871,36/98,21.30%,SMIM29;EPS8;CD40LG;RNF133;ACSS1;MPL;ZNF559-ZNF177;B2M;CD302;ANKRD13B;AVP;DPYSL4;CTSF;DLGAP1-AS3;NAA38;LINC01143;CFAP100-DT;RPL12P47;LINC01038;CCDC69;C5AR2;GLB1L3;RAET1E-AS1;P2RX5;SEC14L5;LINC00391;HNRNPA1P6;MTND4P35;MNX1-AS2;NAGPA;SLC25A38P1;LINC02302;TMEM230P1;CDK13-DT;FOXC2;KRTAP12-6P
prerank,random911,-0.3713136601074184,-1.6129591973661137,0.0037593984962406013,0.794553563663921,0.915,41/98,29.24%,ODAD2;HTR3C;MT1XP1;GRIK1-AS1;BDH2P1;SLAMF8;BPI;SPESP1;TRAPPC3L;MT1A;PRDM8;OSBPL9P3;HLA-DQB1;CXCL17;ZFR2;FAM225A;SH2D2A;PYROXD1;CABP7;LAIR1;CASP10;SRRM3;PLD4;SNORA74C-1;ASIC4;CACNA1B;TNRC6B-DT;LINC01016;KRT223P;C20orf181;BNIP3P29;RNA5SP443;NDUFS5P1;C1QL3;STBD1;LINC01471;SNORA15B-2;LRRIQ4;TIGD1;TPT1P6;SIAH2
prerank,random913,-0.3716497478583732,-1.6086578320173064,0.0012626262626262627,0.6294985278222951,0.927,31/98,18.22%,LRRC70;INHA;RNU1-105P;DTNA;SH3TC1;LINC02352;PLLP;ANPEP;LINC02649;ZNF556;LCN1;TNS2-AS1;FGFBP2;LYZ;CPTP;PPP1R1B;IGHV1-69;LINC02134;FAM74A3;DEFA8P;ENTPD2;TRD-AS1;MIR9-1HG;MIR6730;DNAH2;FAM180B;TRGV7;KIR2DL4;PLVAP;RN7SKP299;ERAP2
prerank,random520,0.3094269103724546,1.599962840194536,0.0,0.16744074776575926,0.399,35/98,19.90%,GAPDHP27;CDT1;DPRX;GAPDHP37;RNU6-1008P;RPL7P28;PRSS12;MAGEB1;SLC6A4;SLC4A8-AS1;RRM2;MIR31HG;TGFA-IT1;LRRC61;KRT18P22;CREB1;RN7SKP214;SPATA31B1P;SBK1;RPL30P15;RNVU1-34;PAGR1;MIS18BP1;HS3ST5;PLBD1;GJA10;TSPY26P;APPBP2;DPH3;RNU6-282P;NR2F1-AS1;TUSC7;GPR20;DLG1;MAPK10-AS1
prerank,random36,-0.3593439165833779,-1.5631416415022448,0.005082592121982211,0.9035690060005217,0.988,31/98,19.55%,TRABD2B;HESX1;LMLN-AS1;COX5AP1;CD40LG;SRSF3P5;PROP1;GLIDR;FOXD4L6;CENPUP2;SEC11C;CARD6;SEPTIN7P2;SLX1B-SULT1A4;LINC00500;LINC02059;HAUS7;KRT18P45;HKDC1;EPAS1;PCP2;TRIM10;NCAN;PCSK4;DEFA5;PHF5FP;CYP4F32P;C10orf53;NDUFB4P12;INO80-AS1;NTRK3-AS1
prerank,random752,-0.357764186076434,-1.557669339107222,0.010165184243964422,0.8100406246505908,0.991,37/98,27.43%,CTXN3;CLCNKA;LINC00506;ST3GAL5-AS1;RRN3P2;LINC02422;CES3;C5orf58;PPP2R2C;VSTM4;TTC21A;LINC01727;RPS6KA2;HERC2P5;TLCD3B;RN7SL354P;MIR1183;C2CD4C;COL15A1;PTPRC;MIR153-1;FYB1;SLITRK2;GAS2L2;CHGB;SULT4A1;CSTA;SNORC;TNRC6B-DT;LINC00841;RNU6-389P;NENFP3;OR1L6;UROC1;ANKRD37;MIR6512;AP3S1
prerank,random73,-0.36231973155506525,-1.5472848289817502,0.0037359900373599006,0.7979203160523275,0.996,39/98,27.27%,SNTB1;STARD9;B3GALT4;LINC00945;SNAP25-AS1;OR1L8;PGM5-AS1;C1QTNF8;PRODH2;ANO3;TRPC2;A2MP1;STPG3-AS1;CD1D;LINC02804;PCDHB18P;TFEC;CABCOCO1;LRMDA;ZRANB2-DT;CARD19;BCO2;SPATA4;CXCR4;RN7SL832P;HMGB1P38;RNU6-1283P;RAF1P1;MIR4689;RPL32P1;OR13C6P;BNIP3P29;VENTXP7;RNU6-640P;RNU6-356P;CSF2RBP1;CRX;RPL13P5;SELENOS
prerank,random666,-0.3572410216687336,-1.5469521118680805,0.006257822277847309,0.7000740747642652,0.997,41/98,31.25%,LRRC37A5P;NAA80;C20orf202;THEMIS2;RFPL1S;ACR;SYNE1;MZB1;NKAPL;OPRM1;RPL12P27;RNU5B-4P;SLCO1A2;MIAT;BCRP5;HBA2;ERICH3;RPL12P18;PCMTD1;MRS2P2;GUSBP5;PGAM1P12;RNU6-1079P;SULT1A3;DNAJC25;CASTOR2;LIN37;CFAP92;OR52E5;OR11H5P;BNIP3P36;HIRAP1;TPT1P14;CASP1P2;PGGHG;GOT1L1;ADAMDEC1;EGLN3-AS1;ABTB3;PDXP;HNRNPA1P55
prerank,random93,-0.36099976541246676,-1.5414972003688538,0.009708737864077669,0.6632502205160699,0.998,51/98,35.16%,TAGAP-AS1;PADI2;GAD3P;IGIP;GHSR;SMTN;DNASE1L3;TNFSF13B;LINC01511;PTGFR;IDUA;CD302;PRKCH;IGKV3-20;ACAN;SPINT4;PABPC1P11;KLRF1;HCP5B;FAM66D;IPCEF1;RLF;PGM5P4-AS1;LINC03013;HNRNPA1P6;PNMA5;PABPC1P7;ELAPOR1;RPL26P28;LINC02010;RN7SL150P;H3P2;BBS7-DT;PCMTD1P1;NDE1P2;PRKCA;ACAD11;snoZ196;TRBV12-4;FABP12;BMPR1B;LRRC8D-DT;ANGPTL8;C12orf76;FITM1;RPS3AP35;RNY1P4;ZNF570;NARF-AS1;ITGB1-DT;VOPP1-DT
prerank,random897,-0.35453821076428677,-1.5193433632776954,0.0149812734082397,0.7884260743170213,1.0,36/98,27.20%,GNRHR2;TRPV2;CTSG;GNAL;SLC4A9;FCER1A;CLEC10A;ZNF501;VIPR1;MT1A;RPS3AP13;GZMM;ETF1P3;RN7SL277P;ARL2BPP4;TCIRG1;CNNM2;IGHV3-21;MIR4480;FSTL5;RNY3P16;CCDC85A;CYP4A22;TCEANC;CCDC7;OR7H1P;PDE4DIPP3;BARHL2;CROCCP1;RPSAP73;MIR548XHG;MIR885;TTC32-DT;NARF-IT1;RPL32P11;RPS10P2
prerank,random327,-0.35081734745807236,-1.4980399844000427,0.012674271229404309,0.9157260428066585,1.0,33/98,19.92%,NEBL-AS1;SIGIRR;ITPKB;LBH;MESP1;PPIAP55;RAB11FIP5;ZIC2;C16orf89;ANKRD13B;IL1R2;TPTE2P6;RHOBTB1;ITGA6;MICALL2;SDR42E1;HSPE1P18;LINC02659;NEU4;IZUMO3;ELMO1-AS1;RNU7-67P;FAM131A;NEUROD1;NGLY1;SLC24A4;CEACAM3;RPL30-AS1;AQP8;HCG22;SIX3-AS1;SRCIN1;CCL3L1
prerank,random373,-0.34831105624343095,-1.489734495509699,0.011124845488257108,0.9183658827475681,1.0,28/98,15.61%,LRP2BP;ASB13;MT2P1;MTAPP1;WFS1;SEM1P1;SHF;FASLG;SYNPO;LINC02701;MMEL1;POU6F1;RN7SL464P;MRPS21P7;RFLNB;RNF157;SILC1;PCNAP1;RPL5P15;PAPSS2;TAAR3P;IL25;LHX5;PIRT;ZBTB20-AS4;OR5AH1P;LRRC4B;DPT
