Gene	Tscore	Tscoreadjusted
CHP1P3	12.094863136295272	11.817513038182657
None	8.43274042711568	8.155390329003065
FARP1-AS1	7.173373434595524	6.8960233364829095
MCHR2-AS1	6.570163876515496	6.2928137784028815
ADH4	5.9644026355032285	5.687052537390614
ZSWIM5P2	5.77743425700418	5.500084158891566
NDUFA4P1	5.075832450645326	4.798482352532711
IFNWP2	5.0	4.722649901887386
TUBAP6	4.999999999999999	4.722649901887385
LINC02898	4.863408645460883	4.5860585473482685
LINC02443	4.858965997184766	4.581615899072152
LINC02067	4.829621384585607	4.552271286472993
TACSTD2	4.7106785099267565	4.433328411814142
OR5E1P	4.673746441826111	4.396396343713497
PGA5	4.660991954068707	4.383641855956093
CYP2C18	4.53940037657998	4.262050278467366
SPP1	4.5247366445760795	4.247386546463465
COL2A1	4.51116864943785	4.2338185513252355
GAPDHP27	4.480613945462524	4.20326384734991
RPS4XP3	4.476799775179261	4.199449677066647
LINC00562	4.473148552307927	4.195798454195312
RNU6-945P	4.444767613424118	4.167417515311504
FUT1	4.430603316845576	4.153253218732962
HAS2	4.406989367436688	4.129639269324073
CATSPERG	4.390005213165197	4.112655115052583
C2orf66	4.385727874027863	4.108377775915248
RPS29P5	4.286607049870562	4.009256951757948
PRH2	4.2729493529315725	3.995599254818958
GABRP	4.2665479737185	3.989197875605885
ADAM19	4.253493182830813	3.9761430847181987
MAGEB16	4.0635907935623345	3.78624069544972
CLDN19	4.062342002546592	3.7849919044339777
ITIH6	4.036493406708756	3.759143308596141
BEND6	4.020882749186715	3.7435326510741
KRT23	4.020451107305753	3.7431010091931385
RN7SKP127	4.007030912119927	3.729680814007312
H3P36	3.9929182594206827	3.715568161308068
RHOXF1-AS1	3.9782991432875905	3.700949045174976
CORIN	3.9780671831262615	3.700717085013647
SPRING1P2	3.9649628286477214	3.6876127305351067
TMPRSS2	3.9600459964977643	3.6826958983851497
Y_RNA	3.9386318072168813	3.6612817091042666
ZAR1	3.88778706456053	3.6104369664479155
PLCD3	3.8844229917047723	3.6070728935921577
HCG15	3.8687873197076943	3.5914372215950796
CD101	3.8522286203567457	3.574878522244131
FRK	3.8426672241589865	3.565317126046372
ESRRA	3.8241699304745884	3.5468198323619737
SNORD116-13	3.8088663256364295	3.5315162275238148
ZNF888-AS1	3.7847931557381616	3.507443057625547
FIGNL2	3.7765052069346727	3.499155108822058
MFAP5	3.7716159855202904	3.4942658874076757
RPL12P39	3.7690955255977623	3.4917454274851476
SEMA5A	3.759621961055474	3.4822718629428593
ZNF29P	3.7534726110294363	3.4761225129168216
RPL34P36	3.7500000000000004	3.4726499018873858
MYRF	3.7340324524938313	3.4566823543812166
RNU6-853P	3.724920250397343	3.447570152284728
KCNG1	3.702085436299768	3.4247353381871535
HCAR2	3.6923558352178962	3.4150057371052815
CYP3A5	3.688622974406555	3.4112728762939404
LCMT1-AS2	3.675274860406037	3.3979247622934223
GATA5	3.6697626910570817	3.392412592944467
XCR1	3.6639022378150363	3.3865521397024216
HCAR3	3.659958739799758	3.3826086416871433
PRRG4	3.657733966932748	3.3803838688201333
BUB1B-PAK6	3.651483716701107	3.3741336185884925
TUSC3	3.641769672640301	3.364419574527686
OVCH2	3.6306004652252213	3.3532503671126066
HAND2-AS1	3.6220692272948525	3.344719129182238
CCDC71L	3.619009067944578	3.3416589698319634
RNU6-339P	3.605551275463989	3.3282011773513744
MIR4664	3.5885161547659337	3.311166056653319
LINC02532	3.5842503478111394	3.3069002496985247
BTF3P9	3.5777087639996634	3.3003586658870487
SLC30A2	3.5688788745886186	3.291528776476004
MIR4713HG	3.554872002078913	3.2775219039662984
RAB17-DT	3.552769016132557	3.2754189180199424
CYP19A1	3.5525248518397414	3.2751747537271267
PSG1	3.551060544503652	3.2737104463910374
