Gene	Tscore	Tscoreadjusted
HJURP	7.096072873844307	6.537039103243891
KIF2C	7.045058109590168	6.486024338989752
MKI67	7.044760323303513	6.485726552703097
TYMS	6.937267837404943	6.378234066804527
BIRC5	6.853128880925156	6.29409511032474
UHRF1	6.734294853062718	6.175261082462302
SPC25	6.649911303040155	6.090877532439739
DTL	6.647276823772867	6.088243053172452
FOXM1	6.525536860972433	5.966503090372017
RRM2	6.448730708068106	5.88969693746769
KIF18B	6.437018481003552	5.877984710403136
E2F8	6.405700278122635	5.846666507522219
DLGAP5	6.3492823221452515	5.790248551544836
POLQ	6.215886369054446	5.65685259845403
GTSE1	6.038141387481762	5.479107616881346
RAD51	6.022977520416171	5.463943749815755
AURKA	6.012871912358457	5.453838141758041
PCLAF	6.0067074264643185	5.447673655863903
UBE2C	6.00374497665464	5.444711206054224
SKA1	5.99765402864899	5.438620258048574
BUB1	5.989313120961205	5.430279350360789
ESPL1	5.9569956030322695	5.397961832431854
CDCA5	5.950647192314969	5.3916134217145535
KIF23	5.940712514297381	5.381678743696965
CD38	5.919867464648178	5.360833694047762
MELK	5.913579529670724	5.354545759070308
NCAPG	5.865304485799672	5.306270715199256
CENPW	5.823843028482073	5.264809257881657
SGO1	5.810731482449869	5.251697711849453
KIF11	5.8071579404409785	5.248124169840563
CDC25A	5.805526387533732	5.246492616933316
ESCO2	5.78141975026603	5.2223859796656145
ZWINT	5.779442034885138	5.220408264284722
HPDL	5.730660940570987	5.171627169970571
CDC6	5.7228358104242805	5.163802039823865
GINS2	5.702838963609457	5.143805193009041
BUB1B	5.696896421690681	5.137862651090265
TMEM92	5.691971402931649	5.132937632331233
MCM10	5.683035681029112	5.124001910428696
SPC24	5.671537024834853	5.112503254234437
KIFC1	5.652908053185626	5.09387428258521
BHLHA15	5.618214133728917	5.059180363128501
PLK1	5.594454106420878	5.035420335820462
ESAM	5.589612009680103	5.030578239079687
TROAP	5.589248379544911	5.030214608944495
CLSPN	5.576597178354917	5.017563407754501
TXNDC5	5.573413769342012	5.014379998741596
CCNB2	5.5699724087382005	5.010938638137785
CDK1	5.553497012865163	4.9944632422647475
HMGB3	5.550607641195478	4.9915738705950625
CIT	5.5485971347681105	4.989563364167695
KIF4A	5.532321755402409	4.973287984801993
AURKB	5.5248784143726795	4.965844643772264
CCNA2	5.520229103061465	4.961195332461049
NEK2	5.403631472392662	4.844597701792246
PTTG1	5.387127772916534	4.828094002316118
DEPDC1B	5.353634816261723	4.794601045661307
KLHDC8B	5.350976568075902	4.791942797475486
KIF20A	5.347251580656266	4.78821781005585
HMMR	5.337454130623785	4.778420360023369
MYL6B	5.293176667521578	4.7341428969211625
E2F1	5.275336533831601	4.716302763231186
HLA-C	5.252760421736399	4.693726651135983
TNFRSF17	5.2332981825433835	4.674264411942968
NDC80	5.223467230514151	4.664433459913735
TPX2	5.205210542670424	4.6461767720700085
TAP1	5.203378964582151	4.644345193981735
CENPF	5.202399497124035	4.643365726523619
BAMBI	5.194349640812379	4.635315870211963
EXO1	5.179449628975302	4.620415858374886
PYCR1	5.154062074105903	4.5950283035054875
TOP2A	5.146355263807235	4.58732149320682
SKA3	5.145225308884592	4.586191538284176
IGF1	5.142938418876946	4.58390464827653
MTFR2	5.133784590339032	4.574750819738616
SHCBP1	5.119903727129044	4.560869956528628
AC012236.1	5.1044602716986445	4.545426501098229
MCM4	5.097323656820113	4.538289886219697
GLDC	5.088450082693939	4.529416312093523
DEPP1	5.081154283106075	4.522120512505659
SNHG30	5.065654119686977	4.506620349086561
CTRL	5.060027344345916	4.5009935737455
CDCA2	5.032519173223121	4.473485402622705
IGLV1-44	5.0193489373255495	4.460315166725134
CDCA3	5.010771698415268	4.451737927814852
TRIP13	5.0104831244194274	4.451449353819012
TICRR	5.000461907039589	4.441428136439173
PLAAT2	4.985237976622561	4.426204206022145
AP001830.1	4.9817734385574965	4.422739667957081
ASPM	4.97790322094124	4.418869450340824
CDC45	4.9746606569508	4.415626886350384
CHEK1	4.974236749222985	4.4152029786225695
C3AR1	4.973134871954372	4.414101101353956
IGKV2-24	4.97096401778214	4.411930247181724
FEN1	4.961402566088939	4.402368795488523
BAK1	4.960566183356345	4.401532412755929
CHAC1	4.957691125397272	4.398657354796856
FBXO6	4.954759832058454	4.3957260614580385
JCHAIN	4.950723941468555	4.391690170868139
GMNN	4.946617444831444	4.387583674231029
SAPCD2	4.928095784524371	4.369062013923955
ORC1	4.924775943232313	4.365742172631897
IGKV1-8	4.919720632122672	4.3606868615222565
EZH2	4.906303849566406	4.34727007896599
EGFL7	4.902716133992374	4.343682363391959
RECQL4	4.900966212499253	4.341932441898837
IGLV3-25	4.892232392671851	4.333198622071436
IGLV1-47	4.872101318229859	4.313067547629443
LINC01484	4.8703036589701725	4.311269888369757
WNT5B	4.866710381289354	4.307676610688938
CAV1	4.864929840953082	4.3058960703526665
IGHV6-1	4.86455211786043	4.305518347260014
KIF15	4.8562916812414905	4.297257910641075
IGKV1-5	4.8468309281060336	4.287797157505618
AC040977.1	4.8296574079857475	4.270623637385332
IGLV2-14	4.82420282496316	4.265169054362744
CCNB1	4.817614204792529	4.258580434192114
TMEM40	4.809752342324536	4.2507185717241205
HASPIN	4.8004215051937305	4.241387734593315
MYDGF	4.800149878094326	4.2411161074939105
ITM2C	4.783122328144621	4.2240885575442055
GGH	4.762378467974592	4.203344697374177
POLE2	4.757791089556985	4.198757318956569
IGKV4-1	4.7550794924236675	4.196045721823252
NEU1	4.754206835274961	4.195173064674545
H3C8	4.7514507260248795	4.192416955424464
ACOXL	4.749583787536773	4.190550016936357
CDKN3	4.741141972657214	4.182108202056798
IGLV4-60	4.738258012210037	4.179224241609621
RAD54L	4.73590240703058	4.176868636430164
UBE2S	4.721711799092137	4.1626780284917215
CENPA	4.719244501597474	4.160210730997059
CALHM5	4.715369039984116	4.156335269383701
PDIA5	4.706381891022075	4.147348120421659
GP6	4.697974311261723	4.138940540661308
CEP55	4.690519668242027	4.131485897641611
IGLL5	4.670562237481958	4.111528466881542
AL355922.1	4.665335117243511	4.106301346643095
OR52K1	4.655658118322966	4.096624347722551
UCHL1	4.638154450951179	4.079120680350763
SRA1	4.635131649790698	4.076097879190282
PBK	4.6136626686267315	4.054628898026316
TTK	4.61212617693617	4.053092406335754
SPAG5	4.605314072301369	4.046280301700953
EDEM2	4.601338465228325	4.0423046946279095
ARHGAP11A	4.593067577449414	4.034033806848998
RHOBTB1	4.589417246042956	4.03038347544254
AP003071.5	4.588295689311027	4.029261918710612
NCAPH	4.585844160352515	4.026810389752099
SLC25A4	4.5823153488533785	4.023281578252963
OXCT2	4.580810973900134	4.0217772032997186
CARD19	4.573117350135735	4.01408357953532
CENPM	4.553411484547564	3.9943777139471486
GAS6	4.550876746614576	3.9918429760141603
IGHV1-2	4.550142550676499	3.9911087800760834
ALOX12	4.544532230607524	3.9854984600071086
ARHGAP23	4.539340760472056	3.9803069898716403
ACRBP	4.536199977985382	3.9771662073849665
FKBP11	4.526873848309421	3.9678400777090053
MZB1	4.524656911267013	3.9656231406665974
WASHC1	4.513270162666919	3.9542363920665036
PKMYT1	4.512455890841051	3.953422120240635
DERL3	4.51208255344551	3.9530487828450944
IGLV3-10	4.5074995986841255	3.9484658280837097
TIMM10	4.5042034141904965	3.9451696435900807
SDC1	4.502960926283656	3.94392715568324
IGKV1-39	4.500613960972511	3.941580190372095
MYBL2	4.493994971653129	3.9349612010527135
DHFR	4.490524760247911	3.9314909896474948
CKAP2L	4.487260815484846	3.92822704488443
IFI27L1	4.486385743251307	3.927351972650891
CDC25C	4.476461055528356	3.91742728492794
SCO2	4.467423688381361	3.908389917780945
DEPDC1	4.463530161079551	3.904496390479135
IFITM3	4.461984090055591	3.902950319455175
TEDC2	4.461042961267514	3.9020091906670986
LAMP5	4.459250580131756	3.90021680953134
KNL1	4.45745241201334	3.898418641412924
IGLV7-43	4.45736439023875	3.898330619638334
CENPN	4.455555911227625	3.8965221406272095
IL15RA	4.448193543449659	3.8891597728492435
ELOVL3	4.4394534824108005	3.8804197118103847
TNNT3	4.437239826857633	3.878206056257217
AC007556.1	4.429019491345257	3.8699857207448414
IGLJ2	4.425767924914899	3.866734154314483
AL133467.1	4.417019496618005	3.8579857260175894
RELA-DT	4.4064883674358635	3.8474545968354477
BEX3	4.394139488412335	3.835105717811919
TXNDC11	4.39301548035338	3.8339817097529645
TK1	4.3884064251007935	3.8293726545003777
ALG1L2	4.388030532115249	3.8289967615148335
EPSTI1	4.386332012237117	3.8272982416367016
NDUFAF1	4.384655991733059	3.825622221132643
SDF2L1	4.383079872399423	3.8240461017990075
IGHV3-21	4.374147545461659	3.815113774861243
OR2B6	4.371081244262005	3.812047473661589
SMARCD3	4.371001820042761	3.8119680494423456
B4GALT2	4.362954911911824	3.803921141311408
H2BC12	4.3600362062264395	3.8010024356260237
PRDX4	4.355130663915928	3.7960968933155126
KCND1	4.35246685641794	3.793433085817524
H2BC5	4.349294534810471	3.790260764210055
ALDH1L2	4.337374402408857	3.778340631808441
SLC25A10	4.335689904246551	3.776656133646135
TRAIP	4.332665061558917	3.773631290958501
SEC61B	4.327141091474913	3.7681073208744973
SLC16A14	4.320405193472275	3.761371422871859
IGKV1-12	4.318146096299611	3.7591123256991956
B9D1	4.3170005486951455	3.7579667780947297
CARD17	4.2983759698565445	3.7393421992561287
U62317.1	4.29242913181431	3.733395361213894
IGKV1-6	4.289302833990592	3.7302690633901765
CDCA8	4.27286589215939	3.7138321215589745
MND1	4.272179321795427	3.7131455511950113
DHRS9	4.264057212202292	3.7050234416018766
IGLV2-5	4.263312512688263	3.7042787420878476
AC120114.1	4.262305961136548	3.703272190536132
STMN1	4.25777911935801	3.698745348757594
STIL	4.256186130599937	3.697152359999521
SPATS2	4.251129828701739	3.692096058101323
POU2AF1	4.2502582078737845	3.6912244372733687
FANCI	4.248976200523389	3.689942429922973
RHBDF2	4.2452259779643615	3.6861922073639457
NUF2	4.244630613518548	3.685596842918132
ZDHHC12	4.2374627442591795	3.6784289736587636
TERT	4.229209728466943	3.670175957866527
XBP1	4.22342976292215	3.664395992321734
PTCRA	4.222693000348352	3.6636592297479362
IGLV3-9	4.2165808938215354	3.6575471232211196
TUBA1C	4.216517121539306	3.6574833509388904
IGHV1-18	4.212924536912583	3.653890766312167
DNAJB11	4.206220563912448	3.6471867933120325
OIP5	4.2058846102331815	3.6468508396327657
IGLV2-11	4.204974963300775	3.6459411927003593
AC016526.2	4.202094104930159	3.6430603343297427
SCGB1C2	4.199610668945736	3.64057689834532
IGLV3-16	4.198305511564658	3.639271740964242
PALD1	4.196788821096826	3.63775505049641
CD300A	4.18854329565937	3.629509525058954
IGLC3	4.18249801935506	3.623464248754644
SLC35B1	4.182312255599387	3.6232784849989708
PCNA	4.180507887093136	3.6214741164927204
CCNE1	4.180046110719092	3.621012340118676
ABCC6	4.1740534732316	3.6150197026311846
NME1	4.1622049324631165	3.6031711618627007
AC022098.3	4.161746241528042	3.602712470927626
ARF4	4.160491711485565	3.6014579408851493
SORCS2	4.1585650419682905	3.5995312713678747
MANF	4.153662890878483	3.594629120278067
IGHV3-66	4.1521103392483	3.5930765686478843
FAM151B	4.151326074616684	3.5922923040162678
AC087623.2	4.151222228671256	3.59218845807084
IGKV1-16	4.145062805673991	3.586029035073575
PSMB8	4.144690034019521	3.5856562634191054
CCNF	4.142361073780962	3.583327303180546
IGKV3OR2-268	4.1348709822984935	3.5758372116980777
FAM83D	4.134615007096436	3.5755812364960198
IGLC2	4.134437664251548	3.5754038936511323
AC092718.4	4.13339320911934	3.5743594385189246
PLAC8	4.12971568398602	3.570681913385604
IGHV1-24	4.122791979790217	3.5637582091898015
PREB	4.120371575239031	3.5613378046386153
IFITM10	4.110627460330429	3.551593689730013
PIMREG	4.11028093241825	3.551247161817834
TUBG1	4.106051521868225	3.547017751267809
GINS1	4.104349145382477	3.545315374782061
AL031123.5	4.103060990856584	3.544027220256168
H2BC17	4.102306326673928	3.5432725560735125
SEC61G	4.100895117796898	3.541861347196482
WDR62	4.100400981463075	3.541367210862659
TSHR	4.100321146948812	3.5412873763483965
AC084036.1	4.093325641358958	3.5342918707585422
CU639417.1	4.086718734702137	3.527684964101721
AC106886.3	4.084127780000291	3.525094009399875
IGKV1D-8	4.083476987922265	3.524443217321849
IGLV2-18	4.082876034534636	3.5238422639342204
CNIH2	4.079494524955317	3.520460754354901
IGLV2-23	4.07478921629799	3.5157554456975744
KIF24	4.072460419940669	3.5134266493402535
APBB3	4.067297801040333	3.508264030439917
H4C8	4.063338800557186	3.50430502995677
LMAN2	4.060944743951055	3.501910973350639
FSTL3	4.054696144984592	3.4956623743841764
IGHV3-33	4.050768528266311	3.4917347576658955
FAM92A	4.044445266360957	3.485411495760541
VPS25	4.044056634020186	3.48502286341977
MIR503HG	4.043948891957252	3.4849151213568366
SEC11C	4.043006063624396	3.48397229302398
PTK2B	4.038129561103499	3.4790957905030835
FRMD3	4.033871302350245	3.474837531749829
SEPTIN4	4.031561852166177	3.472528081565761
IGHD3-3	4.0299551091247805	3.4709213385243647
HSP90B1	4.029874616382088	3.470840845781672
CHPF	4.024258424383641	3.465224653783225
KIF14	4.021336260832971	3.462302490232555
TMED9	4.017977619538027	3.4589438489376114
IGKV3-20	4.016932841908112	3.457899071307696
IGKV1-9	4.008801950122756	3.44976817952234
SLCO4A1	4.001718688971638	3.4426849183712225
PIR	4.001533560580519	3.4424997899801033
GPRIN1	3.9984322781304065	3.439398507529991
KPNA2	3.9919984866950258	3.4329647160946104
TMEM258	3.991402330147672	3.432368559547257
TMEM106C	3.989518641178611	3.430484870578195
MIXL1	3.987443296162759	3.4284095255623432
MDK	3.9803251327752096	3.4212913621747942
AC068722.2	3.977160671590437	3.4181269009900213
IGKC	3.976791218009628	3.4177574474092127
BFSP2	3.975738931257223	3.4167051606568073
BOLA2	3.9756669777022258	3.4166332071018104
AC116353.6	3.9744444476606553	3.4154106770602395
PIPOX	3.967619985121797	3.4085862145213817
ANLN	3.965665046811153	3.406631276210738
AC116353.5	3.9626028626795384	3.403569092079123
IGKV2-28	3.9609782154651354	3.4019444448647196
KIF18A	3.958878196974025	3.399844426373609
MCM2	3.95845016130465	3.3994163907042347
CDKN2A	3.9566188335005634	3.3975850629001476
PTGES3P1	3.9557205465020644	3.3966867759016486
BIK	3.953318179639899	3.394284409039483
LY6G6C	3.9500875161580082	3.391053745557593
CDC20	3.9483346567625497	3.3893008861621343
CIDECP1	3.941936815613678	3.3829030450132622
SELP	3.937143862495251	3.3781100918948352
C6orf99	3.9322497735451876	3.3732160029447718
SCNN1B	3.924504313164433	3.365470542564017
IGLV3-19	3.9234911958622503	3.3644574252618344
CDT1	3.913446783664946	3.35441301306453
TMEM45A	3.9129284374991427	3.353894666898727
AC009570.2	3.9099666735131176	3.350932902912702
SCD	3.9081422892614888	3.3491085186610734
RILPL2	3.906711918741124	3.3476781481407087
AC116366.2	3.9066019436912423	3.347568173090827
DECR1	3.900233078354056	3.341199307753641
IGLV1-51	3.8983984157464757	3.33936464514606
CKS2	3.8961774234192608	3.3371436528188454
H2BC15	3.896119138980822	3.3370853683804063
