name,21Feb68_A01-L1_S1_Pooled_R1_001.fastq.gz,21Feb68_A02-L1_S2_Pooled_R1_001.fastq.gz,21Feb68_B01-L1_S3_Pooled_R1_001.fastq.gz,21Feb68_B02-L1_S4_Pooled_R1_001.fastq.gz,21Feb68_C01-L1_S5_Pooled_R1_001.fastq.gz,21Feb68_C02-L1_S6_Pooled_R1_001.fastq.gz,21Feb68_D01-L1_S7_Pooled_R1_001.fastq.gz,21Feb68_D02-L1_S8_Pooled_R1_001.fastq.gz,21Feb68_E01-L1_S9_Pooled_R1_001.fastq.gz,21Feb68_E02-L1_S10_Pooled_R1_001.fastq.gz,21Feb68_F01-L1_S11_Pooled_R1_001.fastq.gz,21Feb68_F02-L1_S12_Pooled_R1_001.fastq.gz,21Feb68_G01-L1_S13_Pooled_R1_001.fastq.gz,21Feb68_G02-L1_S14_Pooled_R1_001.fastq.gz,21Feb68_H01-L1_S15_Pooled_R1_001.fastq.gz
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,128,218,149,176,118,178,263,167,120,74,135,67,158,135,106
MIR6859-1,11,2,8,3,6,3,3,2,5,7,7,2,6,15,3
MIR1302-2HG,9,3,3,0,1,4,1,2,3,0,0,1,6,1,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,10,7,3,3,4,7,0,6,6,0,2,1,10,0,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,17,21,9,4,12,8,7,7,14,5,18,2,17,2,11
None,222,315,379,252,411,282,326,262,244,46,398,9,191,38,123
None,175,324,345,265,354,304,392,268,226,33,349,1,226,7,150
None,2,13,13,7,11,9,9,11,10,0,17,0,11,0,5
None,103,270,243,269,182,286,247,303,155,20,229,3,239,3,114
RNU6-1100P,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX11L17,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0
WASH9P,234,411,192,339,230,323,539,311,234,358,240,337,306,634,234
MIR6859-2,1,0,0,1,1,0,0,1,2,2,1,1,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,10,34,26,23,16,17,27,41,23,13,12,29,18,5,23
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
None,1,7,0,0,0,0,7,0,0,0,0,0,5,0,1
None,72,128,110,69,56,76,83,84,90,18,77,12,81,2,74
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
None,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
U6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
None,4,3,4,3,4,4,1,6,3,0,3,0,2,0,3
None,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
None,0,0,1,0,0,0,0,1,0,0,1,0,1,0,5
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,3,0,1,0,0,0,0,0,0,10,0,33,1,24,0
MTND2P28,3455,509,1900,196,475,343,482,321,675,8573,491,19026,565,15019,520
None,5,1,0,0,2,0,2,1,1,24,1,32,3,56,2
MTCO1P12,1860,426,597,153,278,252,275,255,407,3814,359,6328,299,4388,253
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO2P12,29,9,10,1,6,6,2,4,4,26,5,66,14,31,15
MTATP8P1,2,0,0,0,0,0,0,0,0,2,0,15,2,6,1
MTATP6P1,10509,1658,6739,1266,2321,1844,1429,1794,1709,21154,2359,44057,1678,29067,1608
MTCO3P12,26,2,16,0,4,3,2,1,3,44,3,59,3,44,1
WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP3,2,2,4,0,1,0,3,0,3,0,3,1,1,0,3
None,16,12,12,4,5,12,12,6,5,1,7,6,3,13,13
None,27,28,14,18,10,22,17,29,21,1,15,0,17,0,12
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,66,152,70,77,44,97,127,92,72,4,69,8,93,3,73
None,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2
None,84,134,63,87,44,90,122,71,67,10,36,20,114,7,100
LINC01409,109,26,40,29,61,44,15,35,77,35,63,40,45,37,29
None,13,13,10,6,9,5,6,10,26,3,10,7,10,2,10
FAM87B,17,9,10,3,8,4,2,5,25,19,6,6,4,1,8
LINC01128,1906,1756,934,1509,547,1372,714,1386,1138,402,615,581,1360,500,1455
LINC00115,30,38,26,31,69,54,100,54,44,54,65,66,32,33,14
FAM41C,1,0,1,1,0,1,0,0,2,0,1,0,1,0,1
TUBB8P11,1,2,0,0,0,0,6,0,2,0,0,0,0,0,0
None,55,23,26,20,12,20,7,20,56,2,17,0,18,4,18
None,243,123,115,32,35,64,20,61,183,0,37,4,81,2,101
None,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0
LINC02593,1189,158,339,65,64,122,45,122,811,14,60,53,134,151,262
SAMD11,1466,1645,702,362,235,591,619,484,964,18,151,49,930,90,1795
NOC2L,6232,8748,4606,6012,3963,5543,8170,5571,4606,1195,4410,1467,5864,1835,5014
KLHL17,1196,997,742,698,886,728,701,689,853,242,1013,334,669,854,671
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHN1,544,924,613,404,423,610,1192,569,912,1,571,1,611,7,398
PERM1,141,188,113,72,90,122,224,129,151,4,97,2,115,6,117
None,32,63,14,12,25,6,62,11,23,207,23,68,30,486,33
HES4,435,1968,461,462,395,616,741,426,342,1128,354,2014,900,4525,992
ISG15,1431,19971,2063,1168,2196,1670,10296,1528,1689,2577,2414,6010,11264,3620,6015
